Date,Price,Open,High,Low,Chg%
19-Sep-22,"57,124","57,200","57,450","56,900",-0.05%
16-Sep-22,"57,152","56,674","57,400","55,880",0.48%
15-Sep-22,"56,881","57,340","57,585","56,600",-0.91%
14-Sep-22,"57,402","56,866","57,624","56,732",0.30%
13-Sep-22,"57,233","57,511","58,037","57,000",-1.09%
12-Sep-22,"57,862","55,674","58,187","55,561",4.15%
09-Sep-22,"55,558","54,900","55,652","54,900",1.26%
08-Sep-22,"54,864","54,661","55,272","54,468",0.50%
07-Sep-22,"54,593","53,600","54,679","53,340",1.46%
06-Sep-22,"53,806","54,290","54,890","53,732",-0.39%
05-Sep-22,"54,014","53,700","54,191","53,700",0.60%
02-Sep-22,"53,691","53,250","54,260","53,250",0.84%
01-Sep-22,"53,242","53,660","53,660","52,605",-1.11%
31-Aug-22,"53,840","53,840","53,840","53,840",-1.94%
30-Aug-22,"54,907","54,500","55,400","54,500",-0.55%
29-Aug-22,"55,210","54,364","56,969","54,088",0.08%
26-Aug-22,"55,164","55,929","56,075","55,050",-1.13%
25-Aug-22,"55,794","55,634","56,097","55,625",0.98%
24-Aug-22,"55,252","55,515","55,789","55,155",-0.76%
23-Aug-22,"55,673","55,974","56,139","55,230",0.03%
22-Aug-22,"55,659","56,184","56,185","55,200",-1.09%
19-Aug-22,"56,275","56,929","56,947","56,050",-1.54%
18-Aug-22,"57,158","57,500","57,868","57,068",-0.75%
17-Aug-22,"57,590","58,091","58,539","57,400",-1.15%
16-Aug-22,"58,258","59,455","59,455","57,903",-2.36%
12-Aug-22,"59,667","59,050","59,775","58,839",1.25%
11-Aug-22,"58,928","59,300","59,514","58,753",-0.79%
10-Aug-22,"59,396","59,225","59,775","58,900",0.21%
09-Aug-22,"59,271","59,441","59,746","59,112",-0.29%
08-Aug-22,"59,441","57,784","59,589","57,784",2.62%
05-Aug-22,"57,926","58,685","58,749","57,285",-1.00%
04-Aug-22,"58,512","58,290","58,930","58,148",0.68%
03-Aug-22,"58,115","58,066","58,427","57,800",-0.14%
02-Aug-22,"58,195","58,604","58,873","58,080",-0.97%
01-Aug-22,"58,765","58,800","59,175","58,327",0.09%
29-Jul-22,"58,712","58,230","58,750","57,900",1.12%
28-Jul-22,"58,064","55,750","58,125","55,750",4.60%
27-Jul-22,"55,513","55,316","55,785","55,080",0.16%
26-Jul-22,"55,426","55,150","55,550","55,062",0.49%
25-Jul-22,"55,155","55,800","55,830","54,934",-1.19%
22-Jul-22,"55,821","56,010","56,362","55,764",-0.33%
21-Jul-22,"56,006","56,100","56,100","54,835",-0.37%
20-Jul-22,"56,213","56,473","56,779","56,105",-0.10%
19-Jul-22,"56,272","56,500","56,500","56,000",-0.52%
18-Jul-22,"56,568","56,300","56,840","56,249",0.84%
15-Jul-22,"56,097","55,527","56,309","55,100",0.79%
14-Jul-22,"55,655","57,450","57,450","55,285",-3.30%
13-Jul-22,"57,555","56,800","57,789","56,754",1.08%
12-Jul-22,"56,940","57,335","57,335","56,510",-0.79%
11-Jul-22,"57,395","57,500","57,722","57,312",-0.30%
08-Jul-22,"57,566","57,300","57,810","56,932",0.26%
07-Jul-22,"57,416","57,499","57,900","57,281",0.36%
06-Jul-22,"57,210","57,400","57,717","56,555",-0.27%
05-Jul-22,"57,365","59,100","59,350","57,230",-2.55%
04-Jul-22,"58,868","58,897","59,000","58,520",0.47%
01-Jul-22,"58,595","58,705","59,850","58,020",-1.14%
30-Jun-22,"59,268","59,434","59,434","59,101",-0.11%
29-Jun-22,"59,336","59,900","60,223","59,263",-0.92%
28-Jun-22,"59,885","60,455","61,021","59,809",-0.87%
27-Jun-22,"60,412","60,783","61,114","60,298",0.75%
24-Jun-22,"59,960","59,829","60,474","59,155",0.21%
23-Jun-22,"59,833","60,777","60,925","59,710",-1.86%
22-Jun-22,"60,970","61,450","61,450","60,467",-0.98%
21-Jun-22,"61,576","61,250","61,940","60,880",0.82%
20-Jun-22,"61,077","61,500","61,500","61,000",-0.30%
17-Jun-22,"61,258","61,725","61,968","61,180",-0.83%
16-Jun-22,"61,771","61,350","61,888","60,610",1.27%
15-Jun-22,"60,998","60,250","61,446","60,111",1.91%
14-Jun-22,"59,854","60,450","60,736","59,710",-1.25%
13-Jun-22,"60,614","61,905","61,905","60,107",-2.52%
10-Jun-22,"62,184","61,418","62,300","60,570",0.84%
09-Jun-22,"61,668","62,260","62,490","61,260",-1.02%
08-Jun-22,"62,306","62,530","62,625","61,763",-0.32%
07-Jun-22,"62,505","62,270","62,592","61,820",-0.08%
06-Jun-22,"62,556","62,500","63,222","62,329",0.96%
03-Jun-22,"61,961","62,867","63,148","61,872",-1.00%
02-Jun-22,"62,589","61,762","62,660","61,640",1.18%
01-Jun-22,"61,862","61,406","61,990","60,822",0.67%
31-May-22,"61,450","62,000","62,150","61,080",-1.19%
30-May-22,"62,188","62,400","62,845","62,015",-0.36%
27-May-22,"62,413","62,200","63,087","62,200",0.53%
26-May-22,"62,087","61,923","62,269","61,540",0.39%
25-May-22,"61,843","62,250","62,374","61,557",-0.70%
24-May-22,"62,278","61,708","62,493","61,380",1.06%
23-May-22,"61,627","61,900","62,540","61,431",-0.15%
20-May-22,"61,718","61,777","62,270","61,480",-0.20%
19-May-22,"61,839","61,454","62,000","60,512",1.19%
18-May-22,"61,111","61,057","61,627","60,830",-0.58%
17-May-22,"61,466","61,350","61,855","61,110",0.40%
16-May-22,"61,221","59,557","61,295","59,557",2.61%
13-May-22,"59,661","59,300","59,800","58,565",0.89%
12-May-22,"59,135","61,000","61,000","59,011",-3.21%
11-May-22,"61,097","60,750","61,870","60,540",0.21%
10-May-22,"60,970","62,025","62,318","60,760",-1.44%
09-May-22,"61,859","62,900","62,973","61,555",-1.65%
06-May-22,"62,894","62,500","63,325","62,400",0.34%
